utc_s (s),utc_ms (ms)_x,file_path,filename,utc_ms (ms)_y,accel_x (counts),accel_y (counts),accel_z (counts),calibrated_accel_x (g),calibrated_accel_y (g),calibrated_accel_z (g),calibrated_accel_x (m/s^2),calibrated_accel_y (m/s^2),calibrated_accel_z (m/s^2),position_lat (semicircles),position_long (semicircles),enhanced_altitude (m),enhanced_speed (m/s),heading (degrees),gyro_x (counts),gyro_y (counts),gyro_z (counts),calibrated_gyro_x (deg/s),calibrated_gyro_y (deg/s),calibrated_gyro_z (deg/s),mag_x (counts),mag_y (counts),mag_z (counts),velocity (m/s)1,velocity (m/s)2,velocity (m/s)3,tsm1_original,tsm1_k2,tsm1_k3,tsm1_k4
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,703,30079,33475,32054,-0.34570312,0.36035156,1.3271483999999998,-3.3901895017479995,3.533841625874,13.01487985686,430511210.0,-1036451383,-90.0,2.253,58.39,33431,33070,33126,-18.231707,-24.024391,-40.853657,32718,32475,31340,1.91,1.18,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,652,34946,32885,30413,-0.057617188,1.1616211,-1.0493164,-0.5650315967001999,11.391611560315,-10.290278674059998,430511083.0,-1036451563,-89.80000000000003,2.249,59.89,33403,33013,32759,-14.756098,-1.6463414,-39.146343,32718,32462,31346,1.94,1.12,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,572,31338,32613,30938,0.07519531,0.90527344,0.71240234,0.7374140868115,8.877699780376,6.986280407561001,430510933.0,-1036451850,-89.60000000000002,2.092,54.51,32357,32367,33119,24.634146,-23.59756,24.634146,32716,32425,31351,1.7,1.21,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,612,32189,33242,36068,-0.2319336,-1.5996093999999998,0.296875,-2.27449163844,-15.686809522510002,2.91134921875,430510998.0,-1036451699,-89.60000000000002,2.214,59.21,32637,32135,33201,38.780487,-28.59756,7.560975599999999,32714,32448,31352,1.9,1.13,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,532,30302,32494,33885,0.13330078,-0.5336914,1.2182617,1.307234094187,-5.233724767809999,11.947066100305,430510855.0,-1036451980,-89.39999999999998,2.069,53.72,32105,32490,32948,17.134145999999998,-13.170732,40.0,32724,32445,31340,1.66,1.22,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,936,35477,32928,31260,-0.07861328,0.7480469,-1.3085938,-0.770932922312,7.335834131884999,-12.832921388769998,430511841.0,-1036450211,-90.60000000000002,2.44,65.1,32358,32820,32796,-2.987805,-3.902439,24.573172,32731,32434,31329,2.21,1.02,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,916,30435,32072,33397,0.33935547,-0.29541016,1.1533203,3.3279403198755,-2.8969840455639995,11.310208519995,430511819.0,-1036450292,-90.39999999999998,2.476,64.66,32336,33070,33019,-18.231707,-17.5,25.914635,32736,32456,31327,2.23,1.05,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,906,27826,32283,32768,0.23632812,0.01171875,2.427246,2.317587157998,0.1149216796875,23.8031519859,430511798.0,-1036450337,-90.39999999999998,2.496,64.23,32304,33192,32983,-25.670732,-15.304878,27.865854,32740,32472,31322,2.24,1.08,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,753,31048,33664,34804,-0.43798828,-0.9824219,0.8540039,-4.295197766062,-9.634267725635,8.374917345935,430511439.0,-1036451083,-90.0,2.422,57.83,32778,33222,32617,-27.5,7.012194999999999,-1.0365853,32726,32481,31337,2.05,1.28,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,886,29838,32408,31187,0.17529297,0.7836914,1.4448242,1.7190368042504998,7.685387267809999,14.16888524093,430511754.0,-1036450435,-90.39999999999998,2.536,64.15,32245,33104,32842,-20.304878,-6.707317,31.463415,32736,32465,31326,2.28,1.1,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,854,32187,31942,32959,0.40283203,-0.08154297,0.29785156,3.9504327269995,-0.7996633667505001,2.920926000874,430511672.0,-1036450581,-90.39999999999998,2.585,64.46,32125,33263,32747,-30.0,-0.91463417,38.780487,32734,32463,31327,2.33,1.11,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,844,30124,32183,32397,0.28515625,0.1928711,1.3051758,2.7964275390625,1.891419372815,12.79940225907,430511644.0,-1036450628,-90.39999999999998,2.596,64.48,32219,33315,32755,-33.17073,-1.402439,33.048782,32736,32476,31323,2.34,1.11,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,814,32738,33376,33325,-0.29736328,-0.2602539,0.028808594,-2.916137609812,-2.5522189084349995,0.2825157983500999,430511592.0,-1036450760,-90.2,2.61,63.03,32562,33368,32475,-36.402440000000006,15.670732,12.134147,32724,32454,31335,2.32,1.18,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,793,33617,32463,30698,0.1484375,1.0224609,-0.40039062,1.455674609375,10.026916184985,-3.926490673623,430511569.0,-1036450838,-90.2,2.612,61.69,32703,33561,32806,-48.17073,-4.512194999999999,3.5365853,32721,32449,31337,2.29,1.23,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,118,30658,32971,33117,-0.099609375,-0.1586914,1.0444336,-0.97683427734375,-1.5562310178100005,10.24239476344,430509636.0,-1036453509,-88.39999999999998,1.795,75.36,33259,32794,32340,-1.402439,23.90244,-30.365854,32719,32526,31329,1.73,0.45,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,108,30480,33232,34760,-0.22705078,-0.9609375,1.1313476999999998,-2.226607531687,-9.423577734375,11.094730922205,430509617.0,-1036453543,-88.39999999999998,1.788,75.61,33430,32621,32389,9.146341,20.914635,-40.792683,32713,32512,31333,1.73,0.44,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,47,29417,32673,32635,0.045898438,0.076660156,1.6503906000000004,0.4501099170127,0.7517793188373999,16.184802977489998,430509540.0,-1036453711,-88.19999999999997,1.817,76.9,33675,32681,32681,5.487805000000001,3.109756,-55.73171,32712,32505,31332,1.76,0.41,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,37,29445,32793,33025,-0.0126953125,-0.11376953,1.6367188,-0.124498486328125,-1.1156979613745,16.050728420019993,430509529.0,-1036453740,-88.19999999999997,1.816,76.79,33692,32642,32812,7.865854,-4.878049,-56.76829,32716,32520,31327,1.76,0.41,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,472,29834,33396,33041,-0.3071289,-0.12158203,1.4467773000000002,-3.0119056271849995,-1.1923124144995,14.188038609044998,430510744.0,-1036452150,-89.19999999999997,2.099,53.42,31938,32750,32727,1.2804878,0.30487806,50.182926,32729,32452,31335,1.68,1.25,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,452,30112,33147,32722,-0.18554688,0.034179688,1.3110351999999998,-1.819593310752,0.3351882373252,12.85686334408,430510704.0,-1036452201,-89.19999999999997,2.105,54.44,32064,32791,32737,-1.2195122,-0.30487806,42.5,32728,32453,31335,1.71,1.22,-0.26,3.0,1.0,2.0,3.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,712,31772,32469,34057,0.14550781,-0.6176758000000001,0.5004883,1.4269441649364998,-6.057330384069999,4.908113587195,430439331.0,-1036520767,-62.600000000000016,4.552,346.42,32559,32468,32733,18.475609,-0.06097561,12.317073,32710,32500,31346,-1.06,4.42,-0.94,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,651,29155,32915,32869,-0.072265625,-0.037597656,1.7783203,-0.70868369140625,-0.3687070532124,17.439364769995,430439303.0,-1036520439,-61.0,4.545,347.45,32632,32757,32709,0.85365856,1.402439,7.865854,32714,32507,31340,-0.98,4.43,-0.9,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,631,30147,32640,32041,0.06201172,0.36669922,1.2939453,0.608127233938,3.5960909058129995,12.689268676245,430439193.0,-1036520376,-60.80000000000001,4.418,347.5,32682,32679,32678,5.609756,3.292683,4.8170733,32707,32480,31345,-0.95,4.31,-0.9,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,752,30157,32779,33676,-0.005859375,-0.43164062,1.2890625,-0.05746083984375,-4.232948486122998,12.641384765624998,430439387.0,-1036520950,-63.399999999999984,4.504,345.3,32601,32738,32768,2.012195,-2.195122,9.756098,32703,32469,31352,-1.14,4.35,-0.96,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,774,30587,32796,33410,-0.014160156,-0.3017578,1.0791016000000002,-0.1388636938374,-2.9592331293700003,10.582371705639998,430439515.0,-1036521149,-60.600000000000016,4.633,344.45,32566,32688,32774,5.060975599999999,-2.5609756,11.890244,32703,32472,31352,-1.24,4.46,-0.75,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,974,31089,32944,33507,-0.08642578,-0.3491210999999999,0.8339844000000001,-0.8475473754369999,-3.423708435315,8.178593116259997,430440270.0,-1036522094,-56.80000000000001,4.533,347.44,32459,32870,32793,-6.0365853,-3.719512200000001,18.414635,32702,32473,31352,-0.98,4.42,-0.39,1.0,0.0,0.0,1.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,964,30710,32982,33568,-0.10498047,-0.37890625,1.019043,-1.0295067261255,-3.7158009765625,9.99339803595,430440220.0,-1036522080,-56.80000000000001,4.561,346.82,32517,32887,32825,-7.0731707,-5.6707315000000005,14.878049,32706,32484,31347,-1.03,4.44,-0.39,1.0,0.0,0.0,1.0
